sequence,segment_id,document,subsegment,outcome_or_scope,compute_key,required_analysis,multiplicity,expected_test_count,current_osf_state,required_osf_action
037,S3.15,supplement,Fine-grained contribution summary,11D contributions to 3D,ASC11.CONTRIBUTION,Arithmetic and content-based descriptive synthesis,None,0,Present,Validate deterministic arithmetic only
038,S3.16,supplement,Cross-study context,Six profiles,ASC11.CROSSSTUDY,Descriptive overlay without inferential comparison,None,0,Present,Retain descriptive scope
039,S4.00,supplement,Pictograph methods,Scoring and analytic configuration,PICTO.METHODS,Scoring seed permutation bootstrap model and family contracts,Exploratory q,0,Missing canonical source,Adopt pipeline and validation contracts
040,S4.01,supplement,Composite correspondence,Three pictographs by three composites,PICTO.COMPOSITE,Pooled change within-person sensitivity and three Positive rank-partials,"BH across 9 9 and 3",21,Missing canonical source,Adopt candidate output
041,S4.02,supplement,Fine-grained correspondence,Subscales and items,PICTO.FINE,Pooled change 33 subscale and 126 item plus 33 within-person,"BH across 33 126 and 33",192,Missing canonical source,Adopt candidate output
042,S4.03,supplement,Mapping specificity,Composite and subscale targets,PICTO.SPECIFICITY,42 symmetry-change correlations plus 42 interaction models with three tests each,BH by target family and estimand,168,Missing canonical source,Adopt candidate output
043,S4.04,supplement,Complete self inventory,Three self measures,SELF.COMPLETE_VIEW,Reuse B01 plus B03 outputs; no recomputation,Self family of 3,0,Table absent,Generate compact view after canonical adoption and text approval
044,S5.00,supplement,Tracer task and reduction,Peak and AUC,TRACER.SCORING,Deterministic reconstruction and reference checks,None,0,Present,Retain
045,S5.01,supplement,Tracer contrasts,11 peak and 11 AUC outcomes,TRACER.CONTRASTS,Two paired t contrasts per outcome with CI dz p and q,BH separately by summary and contrast,44,Present,Retain canonical rows
046,S5.01A,supplement,Tracer omnibuses,11 peak and 11 AUC outcomes,TRACER.OMNIBUS,Registered order-adjusted partial F with p q and partial eta squared,BH separately for peak and AUC,22,Missing canonical registered model,Adopt registered F and generate compact table
047,S5.02,supplement,ASC tracer correspondence,Questionnaire peak and AUC profiles,TRACER.CORRESPONDENCE,Descriptive correspondence only,None,0,Present,Exclude pooled repeated-observation inference
048,S6,supplement,Reproducibility,Entry point outputs map environment and commit,REPRO.MAP,No statistical test,None,0,Partially present,Add manuscript statistic map and final commit
